best_epoch_by_valid_f1_curve_only,best_valid_f1_from_curve_only,note,train_time_sec,train_loss,train_precision,train_recall,train_f1,train_accuracy,valid_loss,valid_precision,valid_recall,valid_f1,valid_accuracy,test_loss,test_precision,test_recall,test_f1,test_accuracy,dlr_ratio,syn_ratio,sample_seed,dlr_total_used,train_real_size,valid_size,test_size,syn_total_used,train_final_size
18.0,0.7269997855457859,No checkpoint saved. Final epoch model was evaluated.,1965.350415945053,0.00014912446204107255,0.9986211123027424,0.998927203065134,0.9987741342323017,0.9999160211824217,0.32022106647491455,0.6961394769613948,0.7547254725472547,0.7242496221118548,0.9626455491119422,0.3254546821117401,0.6889547185780787,0.7413479052823315,0.7141917087080499,0.9618216731935225,1.0,0.0,800,7434,4460,1486,1488,0,4460
19.98,0.7213255863998278,No checkpoint saved. Final epoch model was evaluated.,1967.877790927887,4.941227234667167e-05,0.9996924496386284,0.9996924496386284,0.9996924496386284,0.99998010227431,0.33528026938438416,0.6911340206185567,0.7542754275427542,0.7213255863998278,0.9630858314735509,0.3532421886920929,0.684977111943404,0.7421100090171325,0.7123999134386497,0.9618243444133913,1.0,0.0,1500,7434,4460,1486,1488,0,4460
18.0,0.7344657062997205,No checkpoint saved. Final epoch model was evaluated.,3266.6471371650696,3.827249747700989e-05,0.9994709554544493,0.9996825060853001,0.9995767195767197,0.9999848912548065,0.30930095911026,0.715793918918919,0.7513297872340425,0.7331314878892734,0.9649625085207907,0.2747693955898285,0.721339630742808,0.7709958696649839,0.7453416149068323,0.9689195782998921,1.0,0.3,11,7434,4460,1486,1488,3279,7739
19.99,0.7287188306104901,No checkpoint saved. Final epoch model was evaluated.,3273.6185007095337,4.556155181489885e-05,0.9997890740350137,0.9995782370307887,0.9996836444163241,0.9999824443926136,0.36068636178970337,0.7044887780548629,0.7546749777382012,0.7287188306104901,0.9616344164536935,0.3286716341972351,0.7147186147186148,0.7566452795600367,0.7350845948352628,0.9637408568443051,1.0,0.3,55,7434,4460,1486,1488,3279,7739
18.0,0.7208450097003664,No checkpoint saved. Final epoch model was evaluated.,3325.349907398224,2.9335786166484468e-05,0.9995759567475883,0.9997879334110911,0.9996819338422391,0.9999849426314257,0.3347285985946655,0.6990332072299286,0.7400979083222073,0.7189796800691742,0.9636929618100372,0.3066365718841553,0.7149552620366425,0.7561964849031095,0.7349978098992553,0.9659806803863923,1.0,0.3,110,7434,4460,1486,1488,3279,7739
19.0,0.7345502529140092,No checkpoint saved. Final epoch model was evaluated.,3623.025568962097,6.878514977870509e-05,0.9995791245791246,0.9995791245791246,0.9995791245791246,0.9999672159259988,0.3250376582145691,0.7082092726499362,0.7585421412300684,0.7325120985481742,0.9641745244372942,0.32946833968162537,0.7024968260685569,0.7474110760918505,0.724258289703316,0.9644988292167083,1.0,0.3,220,7434,4460,1486,1488,3279,7739
19.0,0.7307859313938341,No checkpoint saved. Final epoch model was evaluated.,3452.8422799110413,5.9313621022738516e-05,0.9994734070563455,0.9997892962494732,0.9996313266972138,0.9999723964175569,0.3307810425758362,0.70496632996633,0.7558664259927798,0.7295296167247386,0.965372002767833,0.35062912106513977,0.6864406779661016,0.7377049180327869,0.7111501316944687,0.963314159026904,1.0,0.3,500,7434,4460,1486,1488,3279,7739
17.0,0.7328574518710793,No checkpoint saved. Final epoch model was evaluated.,3428.922644138336,4.434816582943313e-05,0.9991517336443644,0.9994696648281715,0.9993106739487778,0.9999773028754735,0.3007590174674988,0.7143461701227254,0.7508896797153025,0.7321622207764042,0.9668004871667644,0.3204386234283447,0.7096502317741256,0.7534675615212528,0.7309027777777779,0.9640836517669362,1.0,0.3,600,7434,4460,1486,1488,3279,7739
19.99,0.731239092495637,No checkpoint saved. Final epoch model was evaluated.,3312.706775188446,9.26325810723938e-05,0.9990518331226296,0.9992623814541622,0.9991570961963966,0.9999570198037575,0.3314482271671295,0.7095681625740897,0.7542754275427542,0.731239092495637,0.9634177732689309,0.3260575234889984,0.7186689714779603,0.7572859744990893,0.7374722838137473,0.9646340172671878,1.0,0.3,800,7434,4460,1486,1488,3279,7739
18.0,0.7442673072723303,No checkpoint saved. Final epoch model was evaluated.,3411.6901710033417,3.833352093352005e-05,0.9998945592576972,0.9997891407485503,0.9998418472244188,0.9999873666231236,0.3321259319782257,0.7174550020929259,0.7713771377137714,0.7434396009542399,0.9651064599794922,0.3440190553665161,0.7074401008827238,0.7587917042380523,0.7322166630411138,0.9637420467384195,1.0,0.3,1500,7434,4460,1486,1488,3279,7739
20.0,0.7423882530770892,No checkpoint saved. Final epoch model was evaluated.,4898.568822145462,2.89509061985882e-05,0.9999194782188582,0.9997584735528541,0.9998389694041868,0.9999898941411283,0.3177635669708252,0.7237894736842105,0.761968085106383,0.7423882530770892,0.9671741270923275,0.2873343527317047,0.7315056570931244,0.7714547957778798,0.7509492964038419,0.9700137510904763,1.0,0.6,11,7434,4460,1486,1488,6558,11018
20.0,0.7386655260906758,No checkpoint saved. Final epoch model was evaluated.,4710.098399400711,2.1192774511291645e-05,0.999677523379555,0.999677523379555,0.999677523379555,0.9999882208027354,0.3457287847995758,0.7106995884773663,0.7689225289403384,0.7386655260906758,0.9639771206036266,0.3089856803417206,0.7156398104265402,0.7612282309807517,0.7377304019542527,0.9655918793849828,1.0,0.6,55,7434,4460,1486,1488,6558,11018
18.0,0.7284623773173392,No checkpoint saved. Final epoch model was evaluated.,4647.99272608757,1.8009766790783033e-05,0.9996775493752519,0.9998387486898331,0.9997581425346663,0.9999949605918281,0.3323550820350647,0.7085617882749895,0.7476635514018691,0.7275877003031617,0.9649988611343102,0.30244338512420654,0.7185501066098081,0.7593510590356016,0.738387379491674,0.9673306533869322,1.0,0.6,110,7434,4460,1486,1488,6558,11018
18.0,0.7471059661620658,No checkpoint saved. Final epoch model was evaluated.,5781.886281013489,5.809410140500404e-05,0.9988769452911921,0.9994381571554699,0.9991574724172517,0.9999746881581079,0.29192957282066345,0.7238259370960792,0.765375854214123,0.7440212577502214,0.9677794163650176,0.32546374201774597,0.7154989384288747,0.7586672669968483,0.7364510489510488,0.9649067150086864,1.0,0.6,220,7434,4460,1486,1488,6558,11018
18.0,0.7489082969432315,No checkpoint saved. Final epoch model was evaluated.,6294.494101047516,3.6055858799954876e-05,0.9995989733718319,0.9998395507420779,0.9997192475835239,0.9999814594763144,0.3213276267051697,0.7258064516129032,0.7716606498194946,0.748031496062992,0.9672523240771383,0.3511574864387512,0.687394247038917,0.7399817850637522,0.712719298245614,0.9643327940559651,1.0,0.6,500,7434,4460,1486,1488,6558,11018
20.0,0.7466260339573356,No checkpoint saved. Final epoch model was evaluated.,6363.098109483719,2.751153260760475e-05,0.9997578301582176,0.9997578301582176,0.9997578301582176,0.9999881414019235,0.32341375946998596,0.7310315430520035,0.7629003558718861,0.7466260339573356,0.9673267475604072,0.3121374249458313,0.7188552188552189,0.7642058165548098,0.7408371286055085,0.9663645250155514,1.0,0.6,600,7434,4460,1486,1488,6558,11018
16.0,0.7434325744308231,No checkpoint saved. Final epoch model was evaluated.,6366.521013498306,6.213420419953763e-05,0.9991959475757819,0.9996782237953503,0.9994370275052276,0.9999697117059209,0.3365360498428345,0.730836236933798,0.7551755175517552,0.7428065515714918,0.964916796632497,0.3246670067310333,0.7225609756097561,0.755464480874317,0.7386464826357971,0.9664333126691564,1.0,0.6,800,7434,4460,1486,1488,6558,11018
19.0,0.7444517688420127,No checkpoint saved. Final epoch model was evaluated.,6356.922631025314,1.4482432561635505e-05,1.0,0.9999195430042642,0.9999597698837349,0.9999949239351685,0.35525208711624146,0.7228864218616567,0.761926192619262,0.7418930762489044,0.9656342360817902,0.3493790030479431,0.7253551442100732,0.7596934174932372,0.7421272847390442,0.9660313968008563,1.0,0.6,1500,7434,4460,1486,1488,6558,11018
